Time,Node,InInterests,InData,InNacks,InSatisfiedInterests,InTimedOutInterests,OutInterests,OutData,OutNacks,OutSatisfiedInterests,OutTimedOutInterests,Label,interest_rate,data_rate,satisfaction_ratio,timeout_ratio,nack_ratio,pit_estimate
0.0,Node_5,2817,20,40,20,2757,2817,20,40,20,2757,Pulsing_IFA,2817,20,0.007099751506176873,0.9787007451264819,0.014199503012353745,13050.406272255825
1.0,Node_4,432,366,26,366,40,432,366,26,366,40,Cache_Pollution,432,366,0.8472222202610596,0.09259259237825788,0.060185185045867624,189.34212907768273
2.0,Node_4,27,26,41,26,0,27,26,41,26,0,Pulsing_IFA,27,26,0.9629629272976693,0.0,1.518518462277094,0.0
3.0,Node_3,37,35,13,35,0,37,35,13,35,0,Pulsing_IFA,37,35,0.94594592037984,0.0,0.35135134185536915,0.0
4.0,Node_1,1093,23,53,23,1017,1093,23,53,23,1017,IFA,1093,23,0.021043000895660566,0.9304666048211649,0.0484903933682613,4814.023638539243
5.0,Node_8,66,62,5,62,0,66,62,5,62,0,Normal,66,62,0.9393939251606981,0.0,0.07575757460973372,0.0
6.0,Node_4,1862,34,97,34,1731,1862,34,97,34,1731,IFA,1862,34,0.01825993554336201,0.9296455419282247,0.05209452199135632,8193.780650403278
7.0,Node_8,260,86,8,86,166,260,86,8,86,166,Slow_IFA,260,86,0.3307692294970414,0.6384615360059172,0.030769230650887575,785.7698344691033
8.0,Node_0,577,78,35,78,464,577,78,35,78,464,Distributed_IFA,577,78,0.13518197550228428,0.8041594440135885,0.060658578751025,2196.368698578775
9.0,Node_5,746,30,45,30,671,746,30,45,30,671,Distributed_IFA,746,30,0.04021447715788944,0.8994638057647938,0.06032171573683416,3176.2142183728156
10.0,Node_4,151,147,3,147,1,151,147,3,147,1,Normal,151,147,0.9735099273277489,0.006622516512433666,0.019867549537300997,4.733553206551333
11.0,Node_1,167,153,5,153,9,167,153,5,153,9,Normal,167,153,0.9161676591846248,0.0538922152461544,0.02994011958119689,42.60197888599264
12.0,Node_3,388,66,15,66,307,388,66,15,66,307,Slow_IFA,388,66,0.17010309234509513,0.791237111362791,0.03865979371479435,1453.200840289743
13.0,Node_2,716,80,22,80,614,716,80,22,80,614,Distributed_IFA,716,80,0.11173184341936894,0.8575418982436566,0.030726256940326456,2906.4016840109916
14.0,Node_4,372,61,17,61,294,372,61,17,61,294,Slow_IFA,372,61,0.1639784941828535,0.7903225785206383,0.045698924608336224,1391.66464820138
15.0,Node_5,371,78,16,78,277,371,78,16,78,277,Slow_IFA,371,78,0.21024258703438656,0.7466307257503215,0.04312668451987416,1311.1942433639088
16.0,Node_1,481,353,21,353,107,481,353,21,353,107,Cache_Pollution,481,353,0.7338877323619798,0.22245322199074175,0.043659043568276414,506.49019540223816
17.0,Node_5,1425,48,78,48,1299,1425,48,78,48,1299,IFA,1425,48,0.033684210502677746,0.9115789467287164,0.05473684206685134,6148.88565171627
18.0,Node_0,11,10,43,10,0,11,10,43,10,0,Pulsing_IFA,11,10,0.9090908264462886,0.0,3.909090553719041,0.0
19.0,Node_1,188,178,1,178,9,188,178,1,178,9,Normal,188,178,0.9468085056020824,0.04787234017089181,0.0053191489078768675,42.601978914488036
20.0,Node_8,116,112,4,112,0,116,112,4,112,0,Normal,116,112,0.965517233055886,0.0,0.0344827583234245,0.0
21.0,Node_2,1038,48,51,48,939,1038,48,51,48,939,IFA,1038,48,0.0462427745219241,0.9046242765851403,0.04913294792954436,4444.806486105418
22.0,Node_6,719,35,57,35,627,719,35,57,35,627,Distributed_IFA,719,35,0.04867872037735922,0.8720445050458352,0.07927677318598501,2967.9378760350346
23.0,Node_6,142,134,2,134,6,142,134,2,134,6,Normal,142,134,0.9436619651854792,0.04225352082920056,0.014084506943066852,28.401319227386914
24.0,Node_1,706,72,55,72,579,706,72,55,72,579,Distributed_IFA,706,72,0.10198300268840935,0.8201133132859585,0.07790368260920158,2740.727320861684
25.0,Node_6,1358,35,16,35,1307,1358,35,16,35,1307,IFA,1358,35,0.025773195857309868,0.9624447710144,0.011782032391913083,6186.7540773786895
26.0,Node_4,361,39,16,39,306,361,39,16,39,306,Slow_IFA,361,39,0.10803324069796887,0.8476454270148326,0.04432132951711543,1448.4672867848317
27.0,Node_5,91,83,5,83,3,91,83,5,83,3,Normal,91,83,0.9120879020649681,0.03296703260475788,0.05494505434126314,14.200659557646897
28.0,Node_3,1959,19,61,19,1879,1959,19,61,19,1879,IFA,1959,19,0.009698825926646847,0.9591628376931276,0.03113833586976093,8894.346529472661
29.0,Node_4,138,131,1,131,6,138,131,1,131,6,Normal,138,131,0.9492753554400337,0.043478260554505356,0.007246376759084227,28.401319221589542
30.0,Node_8,521,415,22,415,84,521,415,22,415,84,Cache_Pollution,521,415,0.7965451040373415,0.16122840660032936,0.042226487442943404,397.61847122036363
31.0,Node_4,143,129,2,129,12,143,129,2,129,12,Normal,143,129,0.9020978957895253,0.08391608332925816,0.013986013888209694,56.80263845757116
32.0,Node_7,89,85,4,85,0,89,85,4,85,0,Normal,89,85,0.9550561690443128,0.0,0.04494381971973237,0.0
33.0,Node_8,127,124,4,124,0,127,124,4,124,0,Normal,127,124,0.9763779450678902,0.0,0.03149606274412549,0.0
34.0,Node_6,13,12,37,12,0,13,12,37,12,0,Pulsing_IFA,13,12,0.9230768520710114,0.0,2.846153627218952,0.0
35.0,Node_4,281,96,8,96,177,281,96,8,96,177,Slow_IFA,281,96,0.3416370094603665,0.6298932361925508,0.028469750788363876,837.8389201265549
36.0,Node_4,681,38,37,38,606,681,38,37,38,606,Distributed_IFA,681,38,0.05580029360381748,0.889867840102984,0.054331864824769656,2868.5332579547794
37.0,Node_9,30,27,44,27,0,30,27,44,27,0,Pulsing_IFA,30,27,0.899999970000001,0.0,1.4666666177777794,0.0
38.0,Node_8,199,181,1,181,17,199,181,1,181,17,Normal,199,181,0.9095477341228757,0.08542713524910987,0.005025125602888816,80.47040463991536
39.0,Node_0,167,162,5,162,0,167,162,5,162,0,Normal,167,162,0.9700598744307792,0.0,0.02994011958119689,0.0
40.0,Node_4,17,15,45,15,0,17,15,45,15,0,Pulsing_IFA,17,15,0.8823528892733594,0.0,2.6470586678200783,0.0
41.0,Node_5,87,79,5,79,3,87,79,5,79,3,Normal,87,79,0.9080459665741843,0.034482758224336114,0.057471263707226855,14.200659550472132
42.0,Node_4,61,56,1,56,4,61,56,1,56,4,Normal,61,56,0.9180327718355283,0.06557376941682345,0.016393442354205864,18.934212641200542
43.0,Node_9,102,92,3,92,7,102,92,3,92,7,Normal,102,92,0.9019607754709729,0.06862745030757401,0.02941176441753172,33.134872340443884
44.0,Node_4,128,117,0,117,11,128,117,0,117,11,Normal,128,117,0.9140624928588867,0.08593749932861329,0.0,52.06908521010332
45.0,Node_2,142,140,3,140,0,142,140,3,140,0,Normal,142,140,0.9859154860146797,0.0,0.02112676041460028,0.0
46.0,Node_9,59,54,5,54,0,59,54,5,54,0,Normal,59,54,0.9152542217753522,0.0,0.08474576127549557,0.0
47.0,Node_6,664,47,33,47,584,664,47,33,47,584,Distributed_IFA,664,47,0.07078313242351938,0.8795180709645812,0.049698795105875306,2764.395086769985
48.0,Node_5,956,49,79,49,828,956,49,79,49,828,IFA,956,49,0.051255230071908756,0.8661087857049071,0.08263598317715902,3919.3820768809046
49.0,Node_6,678,22,27,22,629,678,22,27,22,629,Distributed_IFA,678,22,0.03244837753326198,0.9277286122009902,0.03982300879082152,2977.4049822472493
50.0,Node_1,147,142,0,142,5,147,142,0,142,5,Normal,147,142,0.9659863879864872,0.0340136052107918,0.0,23.667766028491627
